X,Y,Datetime,Lat,Lon,FRP(mw),Firesize(km^2),temp(k),Category,Description
-1489018.761314935050905,-3680654.597188755404204,2016-01-03 04:50:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1478045.099603727925569,-3727530.749787113629282,2016-01-03 04:50:00,-33.3188,115.9792,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-03 05:10:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1493108.487504864577204,-3692243.000953264534473,2016-01-03 05:10:00,-32.9884,115.8657,-9999,-9999,-9999,15, Low Possibility
-1478045.099603727925569,-3727530.749787113629282,2016-01-03 05:10:00,-33.3188,115.9792,-9999,-9999,-9999,15, Low Possibility
-1462000.927969739073887,-3727319.496040214784443,2016-01-03 05:10:00,-33.3348,116.1516,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-03 05:20:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1442035.297813569428399,-3745518.866741147823632,2016-01-03 05:30:00,-33.5186,116.3418,37.26,0.060251,446.6,10, Processed
-1470982.390172154642642,-3726237.477158893831074,2016-01-03 05:40:00,-33.3152,116.0567,34.36,0.0677,435.9,10, Processed
-1450421.989982115803286,-3755236.365169655531645,2016-01-03 05:40:00,-33.5958,116.2387,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 05:40:00,-33.6203,116.2301,30.13,0.028386,477.2,10, Processed
-1472011.990555954631418,-3718253.12988436082378,2016-01-03 06:00:00,-33.2431,116.0564,30,0.108498,407.7,10, Processed
-1462443.774020483251661,-3730119.914356864523143,2016-01-03 06:00:00,-33.3592,116.1431,49.15,0.17328,408.7,10, Processed
-1472011.990555954631418,-3718253.12988436082378,2016-01-03 06:10:00,-33.2431,116.0564,27.5,0.027547,473.3,10, Processed
-1457486.015173273859546,-3756519.304713406134397,2016-01-03 06:10:00,-33.5994,116.161,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 06:10:00,-33.6203,116.2301,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 06:20:00,-33.6203,116.2301,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 06:30:00,-33.6203,116.2301,41.44,0.055572,456.6,10, Processed
-1441590.537414983846247,-3742709.004495245404541,2016-01-03 07:00:00,-33.4941,116.3503,-9999,-9999,-9999,15, Low Possibility
-1444382.998547747964039,-3745943.241654593963176,2016-01-03 07:00:00,-33.5198,116.316,-9999,-9999,-9999,15, Low Possibility
-1472011.990555954631418,-3718253.12988436082378,2016-01-03 07:10:00,-33.2431,116.0564,-9999,-9999,-9999,15, Low Possibility
-1495733.193135110428557,-3709016.151352974120528,2016-01-03 07:20:00,-33.1344,115.8148,-9999,-9999,-9999,15, Low Possibility
-1462443.774020483251661,-3730119.914356864523143,2016-01-03 07:20:00,-33.3592,116.1431,39.64,0.158118,403.9,10, Processed
-1472011.990555954631418,-3718253.12988436082378,2016-01-03 07:40:00,-33.2431,116.0564,27.69,0.089941,412.7,10, Processed
-1444382.998547747964039,-3745943.241654593963176,2016-01-03 07:50:00,-33.5198,116.316,-9999,-9999,-9999,15, Low Possibility
-1452736.832168228458613,-3652476.842174260411412,2016-01-03 08:10:00,-32.6801,116.3499,7.18,-9999,-9999,15, Low Possibility
-1456161.916367722209543,-3645004.175524409394711,2016-01-03 08:30:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
-1493664.370648421347141,-3606096.356901186984032,2016-01-03 09:00:00,-32.2232,115.9759,-9999,-9999,-9999,15, Low Possibility
-1471917.261771222576499,-3688367.174911612644792,2016-01-04 04:40:00,-32.9777,116.0975,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-04 05:00:00,-32.8901,115.9251,129.01,-9999,-9999,14, Medium Possibility
-1489451.846326211467385,-3683446.053416844923049,2016-01-04 05:00:00,-32.9144,115.9167,95.65,-9999,-9999,14, Medium Possibility
-1493108.487504864577204,-3692243.000953264534473,2016-01-04 05:00:00,-32.9884,115.8657,115.04,-9999,-9999,13, High Possibility
-1491621.271635259268805,-3697402.94608499994501,2016-01-04 05:10:00,-33.0359,115.8746,117.31,-9999,-9999,14, Medium Possibility
-1499176.76550897420384,-3745081.24738448811695,2016-01-04 05:10:00,-33.4509,115.7285,-9999,-9999,-9999,15, Low Possibility
-1478796.631485281512141,-3703190.316238748840988,2016-01-04 05:20:00,-33.1017,116.004,-9999,-9999,-9999,15, Low Possibility
-1432516.149803555337712,-3757470.546235321089625,2016-01-04 05:20:00,-33.6353,116.4284,-9999,-9999,-9999,12, Cloudy
-1478045.099603727925569,-3727530.749787113629282,2016-01-04 05:40:00,-33.3188,115.9792,44.99,0.022808,518.1,10, Processed
-1452218.825418849708512,-3766511.934746655169874,2016-01-04 05:40:00,-33.6941,116.2043,-9999,-9999,-9999,15, Low Possibility
-1478796.631485281512141,-3703190.316238748840988,2016-01-04 05:50:00,-33.1017,116.004,49.45,0.004549,679.7,10, Processed
-1491899.402635731035843,-3713752.105314740445465,2016-01-04 05:50:00,-33.1808,115.8494,-9999,-9999,-9999,12, Cloudy
-1467917.917161445133388,-3750220.905886824708432,2016-01-04 05:50:00,-33.5318,116.0573,-9999,-9999,-9999,15, Low Possibility
-1478045.099603727925569,-3727530.749787113629282,2016-01-04 06:00:00,-33.3188,115.9792,-9999,-9999,-9999,15, Low Possibility
-1499176.76550897420384,-3745081.24738448811695,2016-01-04 06:10:00,-33.4509,115.7285,91.49,-9999,-9999,14, Medium Possibility
-1467917.917161445133388,-3750220.905886824708432,2016-01-04 06:10:00,-33.5318,116.0573,-9999,-9999,-9999,15, Low Possibility
-1499176.76550897420384,-3745081.24738448811695,2016-01-04 06:20:00,-33.4509,115.7285,-9999,-9999,-9999,15, Low Possibility
-1499176.76550897420384,-3745081.24738448811695,2016-01-04 06:30:00,-33.4509,115.7285,-9999,-9999,-9999,15, Low Possibility
-1450421.989982115803286,-3755236.365169655531645,2016-01-04 07:10:00,-33.5958,116.2387,-9999,-9999,-9999,15, Low Possibility
-1441590.537414983846247,-3742709.004495245404541,2016-01-04 08:10:00,-33.4941,116.3503,-9999,-9999,-9999,15, Low Possibility
-1442035.297813569428399,-3745518.866741147823632,2016-01-04 08:10:00,-33.5186,116.3418,34.59,0.114686,411.9,10, Processed
-1464225.826434130780399,-3741355.967647136654705,2016-01-04 08:20:00,-33.4571,116.1089,-9999,-9999,-9999,15, Low Possibility
-1426045.336039401357993,-3745381.660791915841401,2016-01-04 08:20:00,-33.5348,116.5139,-9999,-9999,-9999,15, Low Possibility
-1445407.871580603998154,-3737938.785126364789903,2016-01-04 08:30:00,-33.4475,116.3156,-9999,-9999,-9999,15, Low Possibility
