X,Y,Datetime,Latitude,Longitude,FRP(mw),Firesize(km2),temp(k),Category,Description
719919.099198429379612,-3332972.407336188480258,2015-12-19 06:00:00,-30.4308,139.5802,-9999,-9999,-9999,15, Low Possibility
722885.625863522407599,-3348495.352760402485728,2015-12-19 06:00:00,-30.5675,139.6211,35.41,0.047352,457.9,10, Processed
800055.096712803002447,-3378908.684909418225288,2015-12-19 06:00:00,-30.7951,140.4536,-9999,-9999,-9999,12, Cloudy
878125.290848693926819,-3397241.8743861541152,2015-12-19 06:00:00,-30.91,141.2898,-9999,-9999,-9999,15, Low Possibility
853665.298910271609202,-3398034.296409809030592,2015-12-19 06:00:00,-30.9327,141.0325,-9999,-9999,-9999,15, Low Possibility
792113.258558874833398,-3435171.279885656200349,2015-12-19 06:00:00,-31.301,140.409,-9999,-9999,-9999,15, Low Possibility
732061.136039684410207,-3478211.740948523860425,2015-12-19 06:00:00,-31.7187,139.801,-9999,-9999,-9999,15, Low Possibility
886653.535670013981871,-3179412.009484155569226,2015-12-19 06:10:00,-28.9665,141.2138,-9999,-9999,-9999,12, Cloudy
896729.546080392436124,-3180155.362653248012066,2015-12-19 06:10:00,-28.9666,141.3187,-9999,-9999,-9999,12, Cloudy
882459.391528550884686,-3181606.209790189284831,2015-12-19 06:10:00,-28.9887,141.172,-9999,-9999,-9999,12, Cloudy
894549.642258796142414,-3182504.182331145741045,2015-12-19 06:10:00,-28.9889,141.2979,58.3,0.134991,428.8,10, Processed
894043.222311101970263,-3189979.637669027782977,2015-12-19 06:10:00,-29.0557,141.2983,-9999,-9999,-9999,15, Low Possibility
768365.571885088225827,-3191510.141054057050496,2015-12-19 06:10:00,-29.1451,139.9959,31.13,0.031268,473.7,10, Processed
827326.072843705536798,-3217919.173980762716383,2015-12-19 06:10:00,-29.3459,140.6262,44.08,0.057798,458.4,10, Processed
541342.82132587779779,-3217973.909589221235365,2015-12-19 06:10:00,-29.4888,137.6493,-9999,-9999,-9999,15, Low Possibility
599312.997697684913874,-3230421.863005181774497,2015-12-19 06:10:00,-29.5756,138.2597,-9999,-9999,-9999,15, Low Possibility
877400.302742545376532,-3256755.76479756180197,2015-12-19 06:10:00,-29.6603,141.1756,-9999,-9999,-9999,15, Low Possibility
