X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,id,satellite,satellite_,satellit_1,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_al,process__1,load_dt,latitude,longitude,temp_kelvi,datetime,power,confidence,age_hours,australian,hold_dt,hold_dt_2
-1465390.177693,-3682556.27816213,,,,,,,-1,0,-1,,,10713154,AQUA,2002-022A,NASA,MODIS,72811,2016-01-11T05:27:50Z,2016-01-11T05:39:53Z,Aqua20160111T052750Z20160111T053953Zhotspots.txt,,MOD14,5.0.1,,-32.9333,116.1750,320.80,2016-01-11T05:33:50Z,16.8,68,7045,WA,2016-01-11,2016-01-11T09:27:50Z
-1468383.64551954,-3683175.49036975,,,,,,,-1,0,-1,,,10713155,AQUA,2002-022A,NASA,MODIS,72811,2016-01-11T05:27:50Z,2016-01-11T05:39:53Z,Aqua20160111T052750Z20160111T053953Zhotspots.txt,,MOD14,5.0.1,,-32.9355,116.1422,335.60,2016-01-11T05:27:50Z,37.3,87,7046,WA,2016-01-11,2016-01-11T09:27:50Z
-1474921.17366216,-3692379.97272654,,,,,,,-1,0,-1,,,10712781,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0600,301.60,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1479384.05675324,-3694066.45528676,,,,,,,-1,0,-1,,,10712784,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0200,116.0100,302.50,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1501328.4752164,-3697974.40578304,,,,,,,-1,0,-1,,,10712785,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0300,115.7700,296.50,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1480304.40933678,-3694182.28913414,,,,,,,-1,0,-1,,,10712783,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0200,116.0000,298.00,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1474000.68001996,-3692264.56025397,,,,,,,-1,0,-1,,,10712782,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0700,299.70,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1478603.05780798,-3692842.34311666,,,,,,,-1,0,-1,,,10712778,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0200,326.10,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1477682.60034625,-3692726.64244557,,,,,,,-1,0,-1,,,10712779,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0300,321.50,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1476762.13383094,-3692611.01382305,,,,,,,-1,0,-1,,,10712780,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0400,309.80,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1480443.94554816,-3693073.96060168,,,,,,,-1,0,-1,,,10712776,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0000,324.70,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1479523.5062105,-3692958.1158356,,,,,,,-1,0,-1,,,10712777,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0100,323.20,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
-1474139.61129542,-3691156.13659761,,,,,,,-1,0,-1,,,10712775,NOAA 19,2009-005A,NOAA,AVHRR,35678,2016-01-10T18:06:37Z,2016-01-10T18:21:10Z,Noaa1920160110T180637Z20160110T182110Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0000,116.0700,299.10,2016-01-10T18:13:53Z,,,7057,WA,2016-01-11,2016-01-11T06:06:37Z
